Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,target
F,Ship,4,3,195,4,medium,F,1,5004,No
F,Flight,3,4,252,4,low,F,10,5495,No
D,Road,4,3,195,3,low,M,1,4236,Yes
B,Ship,3,1,138,3,low,F,41,1914,Yes
C,Ship,5,3,135,3,high,M,4,5858,No
A,Flight,3,5,255,7,medium,M,8,4091,Yes
A,Ship,4,3,246,5,low,F,1,1673,Yes
B,Road,2,4,179,2,low,F,19,1900,Yes
F,Ship,4,3,254,4,low,M,9,4492,No
F,Ship,3,4,148,4,high,F,1,4249,No
C,Flight,6,3,275,6,low,M,4,4875,No
B,Ship,3,4,210,3,low,M,10,4398,Yes
F,Ship,4,5,242,2,medium,F,2,4806,Yes
B,Road,5,4,188,7,medium,F,48,2466,Yes
F,Ship,3,2,143,4,medium,F,7,4486,No
F,Ship,2,4,187,6,medium,F,9,4388,No
B,Ship,4,1,191,3,low,M,4,2724,Yes
F,Ship,6,4,250,4,low,M,3,1490,Yes
A,Ship,4,1,197,3,high,M,9,4917,No
B,Ship,2,4,134,3,low,F,42,1415,Yes
B,Ship,3,3,193,3,medium,F,29,3453,Yes
B,Ship,2,2,173,3,low,F,10,4736,No
F,Ship,4,2,145,3,medium,F,4,5122,Yes
A,Ship,4,5,134,3,low,F,8,5694,No
D,Flight,4,5,219,2,medium,F,21,3830,Yes
F,Ship,4,5,222,2,medium,M,2,4425,No
F,Ship,3,5,219,6,low,M,1,1394,No
A,Ship,4,5,258,5,medium,M,2,1481,No
B,Road,4,2,202,4,low,F,1,3602,Yes
F,Ship,4,5,275,3,medium,M,1,5394,Yes
F,Ship,5,1,186,4,medium,M,5,5239,No
A,Ship,4,2,139,3,medium,M,5,1674,Yes
F,Road,2,4,239,5,low,F,59,2181,Yes
D,Ship,3,5,198,2,medium,F,62,3015,Yes
B,Ship,3,5,274,3,low,F,3,5156,No
D,Ship,5,5,104,4,low,M,2,5235,No
D,Ship,3,2,145,2,medium,F,29,1690,Yes
B,Road,3,2,143,4,medium,F,22,1249,Yes
B,Road,2,4,136,6,low,F,53,1213,Yes
F,Ship,3,3,275,3,low,F,61,2123,Yes
A,Ship,3,5,155,4,low,F,1,4432,Yes
F,Ship,3,3,168,2,low,F,10,4583,Yes
A,Ship,3,1,266,3,low,F,8,4574,No
B,Ship,3,2,158,2,medium,F,8,5907,No
F,Flight,4,1,271,4,medium,F,2,4133,Yes
C,Ship,5,4,273,3,low,F,60,3384,Yes
B,Ship,5,5,254,5,low,M,7,1967,No
D,Ship,5,4,215,2,medium,M,34,2713,Yes
A,Ship,3,3,183,5,low,F,3,1504,No
A,Ship,6,3,271,4,medium,F,1,1733,No
F,Ship,4,2,96,3,low,M,22,1294,Yes
D,Ship,4,3,224,3,medium,F,9,5283,Yes
A,Flight,5,5,105,4,low,M,6,5135,Yes
C,Ship,5,5,175,6,low,F,2,4883,Yes
F,Road,3,5,193,3,medium,F,6,5302,No
C,Flight,3,5,121,3,low,F,10,1701,Yes
D,Ship,5,4,221,5,low,F,8,1927,Yes
A,Road,4,4,145,3,low,F,43,1651,Yes
A,Road,6,3,233,3,medium,F,9,4293,Yes
F,Flight,6,1,250,4,low,F,2,1783,Yes
C,Road,6,1,280,4,low,F,5,1624,No
B,Ship,3,2,231,3,low,F,5,5046,No
C,Flight,5,4,180,2,low,M,52,1122,Yes
A,Road,4,1,228,3,low,F,9,4678,No
A,Ship,4,1,253,3,medium,F,9,5502,Yes
A,Flight,6,5,267,4,low,M,3,1550,No
D,Ship,2,2,182,2,medium,F,14,3751,Yes
F,Ship,5,3,239,4,low,M,3,3734,Yes
C,Ship,3,1,268,3,low,F,47,2479,Yes
A,Flight,5,5,177,2,high,F,31,2000,Yes
F,Ship,2,2,254,2,low,F,8,5827,No
C,Ship,4,5,246,6,low,M,1,1400,Yes
F,Ship,3,3,218,3,low,M,19,3770,Yes
A,Road,4,4,153,3,low,F,27,1613,Yes
C,Ship,2,2,212,4,medium,F,3,1284,Yes
B,Flight,4,2,167,2,low,F,5,1169,Yes
F,Ship,5,2,254,2,medium,M,4,4180,Yes
A,Ship,5,3,230,3,medium,F,7,4844,No
A,Ship,3,5,175,2,low,M,59,1051,Yes
D,Ship,3,4,240,3,high,F,6,4412,No
A,Road,4,3,134,2,low,F,2,4522,No
A,Road,3,1,200,2,low,F,5,4884,No
F,Ship,3,4,124,4,medium,F,10,5011,No
C,Ship,3,2,135,7,medium,F,5,4716,No
C,Ship,4,4,249,3,medium,F,1,5743,No
C,Ship,3,3,255,2,low,M,8,5955,Yes
F,Ship,3,2,141,3,medium,F,41,1801,Yes
D,Ship,3,5,252,2,high,M,4,4098,Yes
A,Road,3,1,180,3,high,F,21,1047,Yes
D,Ship,4,4,266,2,low,F,2,4290,No
D,Ship,4,4,140,3,medium,M,11,1911,Yes
C,Flight,3,2,227,3,high,M,5,4167,Yes
F,Ship,5,1,245,5,low,F,3,1956,Yes
D,Ship,4,4,267,4,low,F,8,5219,Yes
C,Ship,6,3,282,4,medium,F,8,1375,No
B,Ship,3,1,248,2,medium,M,1,5703,No
D,Road,5,4,269,3,medium,M,15,2522,Yes
F,Ship,3,5,157,2,medium,F,4,5991,No
F,Ship,3,2,201,3,medium,M,5,2040,Yes
D,Ship,6,2,267,4,low,M,10,1580,No
F,Ship,3,5,187,2,medium,F,50,2598,Yes
F,Flight,3,2,164,4,medium,M,6,5761,No
F,Ship,4,3,150,2,medium,M,31,1588,Yes
F,Ship,5,2,244,5,low,M,10,1699,No
F,Ship,4,1,271,2,medium,F,8,2401,Yes
F,Ship,7,4,291,4,medium,M,1,1817,Yes
F,Ship,4,5,196,3,medium,M,16,3722,Yes
F,Ship,5,3,216,3,low,F,40,2146,Yes
B,Ship,6,4,291,4,low,F,5,1327,No
B,Ship,2,4,225,10,high,M,56,3384,Yes
F,Flight,4,2,256,4,low,F,7,5571,No
C,Road,4,5,148,3,high,F,6,5473,Yes
C,Ship,6,5,206,6,low,M,2,4014,Yes
D,Ship,6,1,280,4,medium,M,5,1431,No
F,Ship,5,3,266,2,low,F,61,2118,Yes
C,Ship,3,4,267,2,low,M,9,5940,No
D,Ship,3,2,160,4,low,F,9,5112,Yes
B,Ship,5,3,192,3,medium,F,6,4037,Yes
C,Ship,4,2,220,5,low,M,33,2854,Yes
C,Flight,4,4,147,3,medium,M,9,4534,Yes
B,Ship,4,2,151,3,medium,M,8,4390,Yes
C,Ship,3,3,221,3,low,F,5,4388,No
B,Ship,4,1,136,3,medium,F,4,5060,Yes
B,Ship,4,5,228,5,low,M,5,1373,Yes
B,Road,3,5,264,6,low,M,30,2751,Yes
B,Ship,3,5,142,2,low,M,6,5974,Yes
A,Ship,2,3,258,2,low,M,4,5052,Yes
D,Ship,5,3,237,2,medium,M,3,5113,No
B,Road,4,2,187,3,high,F,5,4897,Yes
A,Ship,3,3,273,6,low,M,6,1771,Yes
F,Flight,6,3,225,4,low,M,5,4184,Yes
F,Ship,4,3,275,3,low,F,3,4824,No
C,Ship,5,1,258,3,medium,M,7,4466,Yes
D,Ship,6,3,281,3,medium,M,11,2135,Yes
D,Ship,5,5,262,5,low,M,9,1400,No
B,Flight,4,1,154,4,medium,M,1,5480,No
C,Ship,3,4,151,3,low,M,2,5712,Yes
F,Flight,4,2,203,3,low,F,9,5296,Yes
F,Ship,4,4,157,2,low,M,9,4491,Yes
B,Ship,3,5,257,3,medium,F,19,2173,Yes
C,Flight,6,2,118,2,low,M,40,1014,Yes
F,Flight,4,1,210,2,medium,F,7,3405,Yes
F,Ship,4,5,185,3,medium,M,17,2824,Yes
F,Flight,5,5,140,3,high,F,42,1384,Yes
B,Ship,3,3,202,3,medium,F,35,3986,Yes
A,Road,5,1,242,5,low,M,9,1767,No
D,Road,4,3,258,2,low,F,2,4308,No
F,Ship,4,1,261,4,medium,F,10,4632,No
A,Flight,3,1,139,3,high,F,6,1269,Yes
F,Flight,7,3,285,4,low,M,10,1935,Yes
A,Ship,3,3,250,3,low,F,33,3463,Yes
F,Flight,4,1,140,2,low,F,5,1274,Yes
B,Road,4,4,192,4,low,F,2,5856,Yes
F,Ship,4,1,208,3,low,M,4,4530,Yes
D,Ship,4,3,261,4,medium,M,9,5116,Yes
D,Flight,4,2,164,3,medium,M,15,1489,Yes
A,Ship,3,4,213,2,medium,F,6,5374,Yes
A,Flight,5,5,248,5,medium,M,8,1881,Yes
C,Ship,4,4,176,3,high,M,34,1283,Yes
B,Ship,5,2,172,2,high,F,1,5112,No
B,Flight,4,3,240,3,low,F,8,4423,No
D,Ship,3,3,182,4,low,F,2,4746,Yes
B,Ship,5,2,263,5,medium,F,10,1059,No
C,Ship,3,2,173,3,medium,F,37,1990,Yes
D,Ship,3,3,255,3,medium,M,23,3764,Yes
F,Ship,2,2,193,3,medium,M,64,2867,Yes
A,Road,4,3,175,3,medium,F,4,5784,No
D,Road,3,5,253,2,medium,M,7,5846,No
F,Ship,4,1,182,3,medium,F,49,3198,Yes
B,Ship,4,3,200,4,low,F,10,4291,Yes
C,Ship,5,1,267,6,low,M,3,1803,No
A,Ship,5,2,249,5,high,F,28,2846,Yes
F,Ship,3,4,195,4,low,M,3,4743,No
B,Ship,5,2,264,6,medium,M,10,1659,Yes
F,Flight,3,3,175,3,low,M,2,5740,Yes
B,Ship,3,3,254,2,medium,M,8,4890,Yes
C,Ship,2,1,249,3,low,M,11,2534,Yes
F,Flight,4,4,148,2,low,M,4,5437,No
F,Flight,3,5,179,3,low,M,2,4913,No
C,Ship,4,1,140,2,low,M,60,1950,Yes
B,Ship,5,3,202,4,low,M,6,5107,No
F,Ship,6,2,182,3,low,M,7,4371,Yes
F,Ship,4,3,163,3,low,M,52,1891,Yes
F,Flight,4,2,219,3,low,M,2,3402,Yes
A,Ship,6,5,139,6,medium,F,10,1081,Yes
D,Flight,3,3,191,4,medium,F,17,3675,Yes
F,Ship,4,2,248,3,low,M,2,5028,Yes
F,Ship,3,5,148,2,medium,F,9,5095,Yes
F,Flight,4,4,258,2,medium,F,5,4363,Yes
