MonthsSinceLastDonation,NumberOfDonations,TotalBloodDonated,MonthsSinceFirstDonation,target
9,4,1000,65,No
25,6,1500,50,No
16,3,750,21,Yes
11,1,250,11,No
4,7,1750,58,No
12,9,2250,60,No
4,5,1250,58,No
11,6,1500,27,No
14,2,500,29,No
4,2,500,4,No
4,2,500,23,No
13,8,2000,26,No
23,8,2000,64,No
0,8,2000,59,No
2,8,2000,35,Yes
2,5,1250,16,Yes
16,1,250,16,No
16,1,250,16,No
16,10,2500,89,No
2,2,500,11,No
3,17,4250,86,No
2,2,500,33,No
16,2,500,27,No
13,3,750,16,No
14,4,1000,23,Yes
4,14,3500,86,No
9,2,500,11,No
14,4,1000,26,No
11,4,1000,28,No
2,4,1000,35,No
72,1,250,72,No
4,6,1500,16,Yes
11,2,500,17,No
14,3,750,26,No
2,4,1000,26,No
4,1,250,4,No
2,4,1000,16,No
14,2,500,14,No
4,5,1250,16,Yes
2,1,250,2,No
4,17,4250,71,Yes
21,1,250,21,No
11,6,1500,58,No
4,1,250,4,No
11,24,6000,64,No
11,2,500,25,No
21,3,750,35,No
38,1,250,38,No
4,14,3500,40,No
11,9,2250,33,No
4,9,2250,38,Yes
11,6,1500,71,No
2,2,500,11,No
2,4,1000,43,No
23,4,1000,45,No
2,1,250,2,Yes
16,10,2500,62,No
2,10,2500,52,No
21,3,750,64,No
23,1,250,23,No
16,15,3750,87,No
39,1,250,39,No
2,16,4000,81,No
11,17,4250,79,Yes
11,3,750,40,Yes
8,10,2500,63,No
5,46,11500,98,Yes
4,3,750,24,No
13,7,1750,76,No
11,11,2750,42,No
4,7,1750,52,No
23,14,3500,93,No
21,1,250,21,No
4,9,2250,28,Yes
14,6,1500,34,No
16,2,500,70,No
11,4,1000,74,No
4,4,1000,41,No
23,3,750,89,No
14,3,750,83,No
4,11,2750,95,No
16,1,250,16,No
11,3,750,26,No
23,1,250,23,No
14,3,750,31,No
4,1,250,4,No
4,2,500,46,No
2,1,250,2,No
2,6,1500,75,No
2,1,250,2,No
4,6,1500,47,No
11,5,1250,41,No
2,1,250,2,No
2,4,1000,16,No
16,1,250,16,No
4,1,250,4,No
23,4,1000,87,No
16,1,250,16,No
2,6,1500,47,No
2,2,500,10,No
14,2,500,35,Yes
14,16,4000,70,No
4,6,1500,35,No
9,2,500,26,No
2,3,750,19,No
11,2,500,21,No
4,2,500,31,No
1,13,3250,47,No
2,2,500,2,No
2,5,1250,37,No
21,1,250,21,No
16,1,250,16,No
4,8,2000,26,Yes
16,1,250,16,No
2,1,250,2,No
26,5,1250,49,Yes
16,14,3500,83,No
3,1,250,3,Yes
14,1,250,14,No
2,2,500,2,No
2,2,500,11,Yes
14,1,250,14,No
8,8,2000,52,Yes
16,7,1750,87,Yes
9,5,1250,19,No
2,11,2750,28,No
21,4,1000,52,No
23,1,250,23,No
2,5,1250,16,No
4,7,1750,58,No
9,1,250,9,No
2,10,2500,64,No
4,6,1500,28,Yes
21,2,500,25,No
16,1,250,16,No
1,14,3500,95,No
4,5,1250,16,Yes
14,3,750,41,No
12,13,3250,59,No
11,2,500,14,No
4,3,750,16,No
23,2,500,87,No
9,5,1250,51,Yes
4,4,1000,26,Yes
11,3,750,37,No
11,1,250,11,Yes
4,4,1000,16,No
14,1,250,14,No
11,6,1500,26,No
38,1,250,38,No
4,1,250,4,No
4,19,4750,69,Yes
23,2,500,23,No
16,5,1250,60,No
13,4,1000,21,No
11,1,250,11,No
4,7,1750,82,No
2,2,500,16,No
14,6,1500,51,No
2,2,500,14,No
4,1,250,4,No
9,9,2250,54,No
11,6,1500,28,No
21,1,250,21,No
4,1,250,4,Yes
3,10,2500,33,Yes
11,3,750,28,No
2,13,3250,32,Yes
