city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_16,0.91,nan,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,1,21,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Funded Startup,2,74,No
city_104,0.924,nan,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,94,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,1,75,No
city_134,0.698,Male,No relevent experience,no_enrollment,Masters,STEM,12,500-999,NGO,1,157,No
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,High School,nan,13,1000-4999,Public Sector,2,59,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,56,Yes
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6,nan,nan,1,220,No
city_126,0.479,nan,Has relevent experience,Full time course,Phd,STEM,>20,10000+,Pvt Ltd,>4,44,No
city_173,0.878,Male,No relevent experience,no_enrollment,Primary School,nan,6,<10,Pvt Ltd,3,12,No
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,never,222,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,>4,55,Yes
city_126,0.479,Male,No relevent experience,Full time course,Masters,Other,1,10/49,Other,nan,23,Yes
city_21,0.624,nan,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Public Sector,2,80,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,4,25,No
city_72,0.795,nan,Has relevent experience,Full time course,Graduate,STEM,10,50-99,nan,1,29,No
city_73,0.754,nan,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,100,No
city_100,0.887,Male,No relevent experience,no_enrollment,Masters,STEM,10,nan,nan,2,24,Yes
city_16,0.91,Male,Has relevent experience,no_enrollment,High School,nan,>20,nan,nan,1,40,No
city_24,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,30,No
city_152,0.698,Female,No relevent experience,Full time course,Graduate,STEM,8,1000-4999,Public Sector,1,94,Yes
city_102,0.804,nan,Has relevent experience,no_enrollment,Masters,STEM,9,nan,nan,2,25,Yes
city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,3,50-99,Pvt Ltd,1,100,Yes
city_115,0.789,Female,No relevent experience,Full time course,Graduate,STEM,3,nan,nan,never,16,Yes
city_89,0.925,nan,No relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,1,98,No
city_27,0.848,Male,Has relevent experience,no_enrollment,Graduate,Other,3,50-99,Pvt Ltd,never,32,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,78,No
city_83,0.923,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Pvt Ltd,1,12,No
city_21,0.624,nan,No relevent experience,Full time course,High School,nan,7,nan,nan,never,46,Yes
city_165,0.903,nan,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,>4,80,No
city_75,0.939,Female,No relevent experience,no_enrollment,Graduate,Humanities,8,10/49,NGO,>4,74,No
city_162,0.767,nan,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,never,14,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Masters,STEM,5,nan,nan,1,56,No
city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,2,nan,Public Sector,1,28,No
city_97,0.925,nan,No relevent experience,Full time course,Graduate,STEM,7,nan,nan,never,55,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,2,80,No
city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,nan,nan,>4,28,No
city_78,0.579,Male,No relevent experience,Full time course,Graduate,Humanities,<1,nan,nan,>4,18,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Funded Startup,4,95,No
city_138,0.836,Male,No relevent experience,Full time course,High School,nan,5,100-500,Pvt Ltd,1,45,No
city_16,0.91,Male,Has relevent experience,Full time course,Graduate,STEM,7,nan,nan,1,98,Yes
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,nan,nan,>4,128,No
city_100,0.887,nan,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,Yes
city_7,0.647,nan,Has relevent experience,no_enrollment,Masters,STEM,5,1000-4999,Pvt Ltd,4,21,No
city_145,0.555,nan,Has relevent experience,no_enrollment,Graduate,STEM,2,nan,nan,1,29,No
city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,nan,2,nan,nan,2,28,No
