"param_index","n.trees","interaction.depth","n.minobsinnode","shrinkage","bag.fraction"
1001,100,1,10,0.001,0.5
1002,184,5,6,0.00456176362826664,0.519174706377089
1003,8429,1,12,0.0280282899261567,0.516280809417367
1004,2095,4,17,0.00692387606997823,0.29244084469974
1005,1429,5,8,0.00181030844857429,0.319935385882854
1006,313,4,8,0.0112047424259922,0.714220445230603
1007,3758,2,3,0.00373886826611089,0.454310983791947
1008,8290,4,14,0.00389195560538159,0.928158106468618
1009,838,1,5,0.00835242265384583,0.263732888177037
1010,8858,1,13,0.0169149992408437,0.685464519634843
1011,402,2,21,0.00125638370391328,0.377933670952916
1012,1048,5,5,0.00162296143682106,0.378586062602699
1013,2604,5,14,0.076179040191425,0.277669501677156
1014,1482,3,11,0.0691862592039546,0.605455540679395
1015,128,3,6,0.0244635518628363,0.789875616505742
1016,1870,2,2,0.0251257256376483,0.766678701713681
1017,1620,2,12,0.0902017768754975,0.961350228451192
1018,207,2,11,0.00130083289301807,0.361439883336425
1019,1817,4,16,0.0141993313786689,0.256665950454772
1020,656,4,9,0.00351798832958391,0.699490079283714
1021,2412,1,20,0.00479000647022351,0.662233087047934
1022,3474,1,7,0.00499566588979104,0.367906682379544
1023,361,3,10,0.0491900108187829,0.708918388001621
1024,2053,3,14,0.00451682701069559,0.267142684012651
1025,1189,1,16,0.0039361814595433,0.85447293817997
1026,314,2,20,0.0117069580596303,0.545425377599895
1027,8020,4,25,0.0128913992403129,0.62884164005518
1028,176,1,16,0.0411977723421689,0.417990740388632
1029,5230,2,17,0.0021895706725195,0.954839642159641
1030,460,3,7,0.00368577514228181,0.513558311760426
1031,8694,3,24,0.025687557730991,0.359558722749352
1032,174,5,8,0.0459156528176773,0.624665737710893
1033,3507,1,2,0.0331734342995918,0.756893805228174
1034,340,4,10,0.0341612821005861,0.474341574683785
1035,309,1,8,0.0133980904086605,0.629835432954133
1036,386,1,7,0.00180386963704737,0.774700429290533
1037,841,2,6,0.0792534168026183,0.318956232815981
1038,1480,4,7,0.00245415415096689,0.692547168023884
1039,138,3,19,0.0201611477938567,0.747378311492503
1040,966,4,15,0.0104908725360555,0.789551628381014
1041,906,5,25,0.0881009284752134,0.424617588892579
1042,996,2,8,0.00418716538326334,0.486376005224884
1043,112,3,15,0.00178856676778334,0.903079886175692
1044,128,1,21,0.00416659000938545,0.684193040244281
1045,1414,5,16,0.0356546387530775,0.982086401991546
1046,273,4,22,0.001361105988515,0.266248101182282
1047,1316,4,16,0.0163972973016523,0.289859014190733
1048,654,2,15,0.00435183799612311,0.257516393810511
1049,8868,3,11,0.00113079337005007,0.326544295437634
1050,10009,3,24,0.00949159805153751,0.752196460217238
1051,130,4,23,0.0450331834096359,0.444945426471531
1052,103,1,20,0.00375741896918852,0.733644094504416
1053,5190,4,11,0.00387313567184456,0.24807406924665
1054,394,1,10,0.0105714314328488,0.211827656626701
1055,197,4,9,0.00997927959838527,0.925593104399741
1056,507,5,14,0.0670561804320508,0.334846455231309
1057,2067,5,12,0.00473481769718939,0.222015717439353
1058,6058,4,14,0.00153948391543319,0.206704558618367
1059,345,5,2,0.00362757235648547,0.217532117664814
1060,135,1,7,0.00139058736404971,0.59798979703337
1061,131,5,18,0.0422738869682509,0.618535734713078
1062,273,2,21,0.0031836765170024,0.998077975027263
1063,1563,2,16,0.00103656467770245,0.597627420723438
1064,779,2,2,0.0975715051708979,0.641634752415121
1065,578,3,10,0.00263692878937791,0.335086072981358
1066,401,3,18,0.00307400172642044,0.646121576800943
1067,333,5,7,0.0508678461819378,0.901678041368723
1068,641,1,20,0.0055915509399903,0.759258746914566
1069,660,3,19,0.0776755104467056,0.427739243581891
1070,997,3,17,0.00216939933218267,0.503769594430924
1071,915,2,19,0.0360293113736829,0.860013367235661
1072,1567,4,7,0.0936006851756451,0.5416868371889
1073,185,4,6,0.00198882453611974,0.835072727873921
1074,2010,5,8,0.0675148820925444,0.46251120492816
1075,5107,5,18,0.0185721218268807,0.601036208868027
1076,201,5,20,0.0117325652630719,0.654670244269073
1077,355,4,16,0.0315914779872148,0.337309751659632
1078,158,2,9,0.023174560133162,0.334358015842736
1079,138,1,21,0.00958936407915773,0.560648726299405
1080,129,1,7,0.0279360475028966,0.827274758182466
1081,464,1,21,0.00112169250429337,0.96959670688957
1082,2286,1,9,0.00806132933090061,0.980295692384243
1083,667,1,6,0.00377539661675208,0.71809427626431
1084,141,3,10,0.00939228937912536,0.46769422441721
1085,2889,4,14,0.00124897945212821,0.348116892576218
1086,103,1,14,0.0981173262156587,0.761604703590274
1087,658,2,18,0.0452547420514362,0.278241366893053
1088,1669,5,17,0.0363897300261474,0.583990836888552
1089,575,1,9,0.0696319115781055,0.279538751021028
1090,314,2,19,0.00799501196439567,0.518074225448072
1091,754,3,23,0.00555432859235854,0.805764767155051
1092,949,1,11,0.0444991971429,0.903555852547288
1093,5630,3,3,0.00165793624334028,0.262400050275028
1094,907,3,13,0.00769927278969021,0.909632358700037
1095,296,2,16,0.00434903066460653,0.748104668036103
1096,125,4,21,0.00340305628773771,0.475385360233486
1097,524,5,12,0.0322092731944673,0.358673267625272
1098,373,1,2,0.00109339166828142,0.922691784799099
1099,1364,5,9,0.0366613228667596,0.686059104837477
1100,2367,5,12,0.0126652064734548,0.746615828573704
1101,3192,5,16,0.0115218395867009,0.339419533126056
1102,6184,5,20,0.00155375034114337,0.691692444309592
1103,342,1,5,0.0413073805381581,0.97873673569411
1104,1475,1,15,0.0795865907191336,0.241693451069295
1105,4630,3,6,0.0285561925732624,0.838015131466091
1106,494,5,17,0.0222996480167006,0.649857027083635
1107,1043,2,13,0.0368065189047466,0.919911198318005
1108,1449,5,23,0.0024890207453017,0.315255228802562
1109,7852,4,25,0.00233282109100818,0.561273192614317
