"param_index","k","distance"
1001,17,2
1002,5,2
1003,1,2
1004,25,2
1005,10,2
1006,4,2
1007,18,2
1008,26,2
1009,17,2
1010,15,2
1011,24,2
1012,7,2
1013,4,2
1014,25,2
1015,5,2
1016,14,2
1017,20,2
1018,26,2
1019,18,2
1020,15,2
1021,3,2
1022,9,2
1023,25,2
1024,27,2
1025,4,2
1026,5,2
1027,13,2
1028,5,2
1029,20,2
1030,2,2
1031,28,2
1032,8,2
1033,3,2
1034,26,2
1035,1,2
1036,10,2
1037,24,2
1038,30,2
1039,11,2
1040,15,2
1041,22,2
1042,26,2
1043,8,2
1044,4,2
1045,4,2
1046,22,2
1047,18,2
1048,13,2
1049,28,2
1050,5,2
1051,4,2
1052,2,2
1053,24,2
1054,18,2
1055,3,2
1056,24,2
1057,23,2
1058,17,2
1059,21,2
1060,26,2
1061,18,2
1062,6,2
1063,6,2
1064,2,2
1065,20,2
1066,3,2
1067,22,2
1068,21,2
1069,2,2
1070,23,2
1071,6,2
1072,26,2
1073,10,2
1074,8,2
1075,5,2
1076,1,2
1077,17,2
1078,7,2
1079,4,2
1080,13,2
1081,10,2
1082,9,2
1083,29,2
1084,12,2
1085,20,2
1086,9,2
1087,11,2
1088,3,2
1089,29,2
1090,16,2
1091,5,2
1092,28,2
1093,24,2
1094,14,2
1095,5,2
1096,28,2
1097,22,2
1098,2,2
1099,18,2
1100,24,2
1101,17,2
1102,18,2
1103,5,2
1104,14,2
1105,8,2
1106,23,2
1107,8,2
1108,21,2
1109,4,2
1110,25,2
1111,4,2
1112,7,2
1113,10,2
1114,18,2
1115,27,2
1116,13,2
1117,21,2
1118,22,2
1119,19,2
1120,16,2
1121,22,2
1122,28,2
1123,29,2
1124,17,2
1125,12,2
1126,9,2
1127,25,2
1128,21,2
1129,30,2
1130,11,2
1131,25,2
1132,26,2
1133,16,2
1134,8,2
1135,29,2
1136,23,2
1137,6,2
1138,1,2
1139,13,2
1140,14,2
1141,5,2
1142,9,2
1143,23,2
1144,16,2
1145,26,2
1146,11,2
1147,10,2
1148,10,2
1149,24,2
1150,1,2
1151,27,2
1152,25,2
1153,29,2
1154,25,2
1155,19,2
1156,17,2
1157,14,2
1158,14,2
1159,15,2
1160,6,2
1161,24,2
1162,15,2
1163,11,2
1164,30,2
1165,5,2
1166,16,2
1167,17,2
1168,22,2
1169,17,2
1170,18,2
1171,2,2
1172,30,2
1173,6,2
1174,22,2
1175,6,2
1176,6,2
1177,20,2
1178,28,2
1179,15,2
1180,2,2
1181,10,2
1182,23,2
1183,28,2
1184,30,2
1185,12,2
1186,26,2
1187,9,2
1188,1,2
1189,2,2
1190,24,2
1191,24,2
1192,2,2
1193,25,2
1194,28,2
1195,11,2
1196,29,2
1197,30,2
1198,14,2
1199,2,2
1200,28,2
1201,2,2
1202,27,2
1203,10,2
1204,25,2
1205,28,2
1206,22,2
1207,5,2
1208,10,2
1209,17,2
1210,17,2
1211,5,2
1212,3,2
1213,14,2
1214,14,2
1215,28,2
1216,26,2
1217,1,2
1218,5,2
1219,3,2
1220,22,2
1221,26,2
1222,13,2
1223,11,2
1224,20,2
1225,26,2
1226,17,2
1227,27,2
1228,27,2
1229,30,2
1230,20,2
1231,4,2
1232,20,2
1233,11,2
1234,17,2
1235,9,2
1236,17,2
1237,30,2
1238,13,2
1239,30,2
1240,28,2
1241,17,2
1242,29,2
1243,20,2
1244,1,2
1245,17,2
1246,1,2
1247,28,2
1248,2,2
1249,8,2
1250,16,2
1251,3,2
1252,5,2
1253,13,2
1254,12,2
1255,1,2
1256,30,2
1257,19,2
1258,28,2
1259,5,2
1260,15,2
1261,24,2
1262,6,2
1263,23,2
1264,16,2
1265,10,2
1266,7,2
1267,9,2
1268,9,2
1269,25,2
1270,3,2
1271,18,2
1272,21,2
1273,15,2
1274,28,2
1275,28,2
1276,15,2
1277,29,2
1278,25,2
1279,20,2
1280,25,2
1281,16,2
1282,22,2
1283,24,2
1284,1,2
1285,29,2
1286,6,2
1287,11,2
1288,9,2
1289,22,2
1290,26,2
1291,22,2
1292,22,2
1293,20,2
