"param_index","ntree","replace","nodesize"
1001,6810,FALSE,2
1002,7546,TRUE,5
1003,376,FALSE,3
1004,4616,FALSE,4
1005,1934,FALSE,4
1006,1099,TRUE,4
1007,2995,FALSE,4
1008,187,FALSE,5
1009,2075,FALSE,3
1010,2590,FALSE,5
1011,828,FALSE,2
1012,2763,FALSE,2
1013,7463,FALSE,1
1014,326,FALSE,1
1015,846,TRUE,3
1016,7649,FALSE,1
1017,9122,FALSE,4
1018,173,TRUE,1
1019,897,FALSE,1
1020,1329,TRUE,2
1021,6480,TRUE,3
1022,190,FALSE,5
1023,9582,TRUE,4
1024,7887,FALSE,5
1025,147,FALSE,2
1026,1075,FALSE,4
1027,607,FALSE,4
1028,6531,TRUE,3
1029,788,FALSE,1
1030,4736,TRUE,1
1031,3009,FALSE,3
1032,4221,TRUE,4
1033,601,TRUE,2
1034,2363,TRUE,1
1035,102,FALSE,1
1036,4669,FALSE,3
1037,104,FALSE,3
1038,262,FALSE,4
1039,6557,TRUE,4
1040,1685,FALSE,4
1041,578,FALSE,4
1042,749,TRUE,5
1043,119,FALSE,5
1044,8927,TRUE,4
1045,735,FALSE,4
1046,8294,FALSE,1
1047,6012,TRUE,5
1048,1919,TRUE,1
1049,8822,FALSE,1
1050,1740,FALSE,5
1051,467,TRUE,5
1052,497,FALSE,3
1053,630,TRUE,1
1054,3738,TRUE,2
1055,120,TRUE,5
1056,3168,FALSE,3
1057,2279,FALSE,1
1058,221,TRUE,4
1059,335,FALSE,4
1060,1076,FALSE,2
1061,2261,TRUE,4
1062,9318,TRUE,2
1063,3329,FALSE,4
1064,1367,FALSE,4
1065,5044,FALSE,2
1066,241,FALSE,3
1067,351,TRUE,2
1068,4568,TRUE,5
1069,2452,FALSE,4
1070,304,TRUE,5
1071,122,TRUE,5
1072,192,FALSE,1
1073,272,TRUE,4
1074,915,FALSE,5
1075,249,TRUE,2
1076,2766,TRUE,5
1077,104,TRUE,4
1078,567,FALSE,4
1079,1076,TRUE,4
1080,101,TRUE,2
1081,1466,FALSE,4
1082,208,TRUE,2
1083,525,TRUE,5
1084,1969,FALSE,2
1085,3589,TRUE,3
1086,1350,TRUE,1
1087,295,TRUE,5
1088,152,TRUE,4
1089,149,FALSE,3
1090,410,FALSE,1
1091,2177,TRUE,5
1092,101,TRUE,5
1093,263,TRUE,5
1094,7407,FALSE,3
1095,7159,TRUE,4
1096,2961,FALSE,2
1097,466,FALSE,1
1098,1079,FALSE,3
1099,3099,TRUE,4
1100,1743,TRUE,1
1101,1801,FALSE,4
1102,273,FALSE,5
1103,273,TRUE,5
1104,603,TRUE,2
1105,7736,FALSE,3
1106,8489,TRUE,1
1107,3040,TRUE,1
1108,2949,FALSE,3
1109,1187,FALSE,3
1110,101,TRUE,1
1111,1663,FALSE,5
1112,4753,TRUE,4
1113,3208,TRUE,4
1114,809,TRUE,5
1115,1187,FALSE,3
1116,1196,FALSE,2
1117,101,FALSE,2
1118,517,FALSE,1
1119,1688,TRUE,3
1120,4584,FALSE,3
1121,520,FALSE,1
1122,667,FALSE,4
1123,1412,TRUE,1
1124,1522,FALSE,2
1125,2770,TRUE,1
1126,620,FALSE,5
1127,6950,TRUE,5
1128,8487,TRUE,4
1129,295,TRUE,2
1130,2833,TRUE,2
1131,6468,FALSE,2
1132,1621,FALSE,4
1133,1845,FALSE,3
1134,7557,FALSE,1
1135,5063,FALSE,2
1136,1454,TRUE,3
1137,4428,FALSE,3
1138,170,TRUE,1
1139,3406,TRUE,4
1140,1779,TRUE,3
1141,199,TRUE,3
1142,145,FALSE,4
1143,853,FALSE,2
1144,3648,FALSE,2
1145,2953,TRUE,2
1146,4343,TRUE,2
1147,220,TRUE,4
1148,7817,TRUE,4
1149,389,TRUE,5
1150,200,FALSE,4
1151,2767,TRUE,2
1152,447,FALSE,4
1153,3638,TRUE,4
1154,619,FALSE,1
1155,2292,TRUE,4
1156,3589,TRUE,4
1157,239,FALSE,4
1158,115,FALSE,1
1159,188,TRUE,4
1160,2309,TRUE,5
1161,7468,FALSE,3
1162,1270,TRUE,2
1163,1609,TRUE,5
1164,249,FALSE,3
1165,1184,FALSE,2
1166,230,FALSE,4
1167,806,FALSE,3
1168,433,TRUE,1
1169,172,FALSE,2
1170,237,FALSE,3
1171,2902,FALSE,1
