"param_index","num.trees","min.node.size","replace","splitrule"
1001,6810,2,TRUE,"extratrees"
1002,7546,1,FALSE,"gini"
1003,376,2,TRUE,"extratrees"
1004,4616,4,TRUE,"gini"
1005,1934,4,FALSE,"gini"
1006,1099,1,FALSE,"extratrees"
1007,2995,2,FALSE,"gini"
1008,187,4,TRUE,"extratrees"
1009,2075,4,TRUE,"gini"
1010,2590,4,FALSE,"extratrees"
1011,828,2,TRUE,"gini"
1012,2763,2,TRUE,"extratrees"
1013,7463,2,TRUE,"gini"
1014,326,2,FALSE,"gini"
1015,846,3,FALSE,"gini"
1016,7649,2,FALSE,"gini"
1017,9122,4,TRUE,"extratrees"
1018,173,1,FALSE,"extratrees"
1019,897,2,TRUE,"gini"
1020,1329,3,TRUE,"extratrees"
1021,6480,1,FALSE,"gini"
1022,190,4,TRUE,"extratrees"
1023,9582,3,FALSE,"gini"
1024,7887,2,TRUE,"gini"
1025,147,4,TRUE,"gini"
1026,1075,4,TRUE,"extratrees"
1027,607,4,TRUE,"extratrees"
1028,6531,3,FALSE,"extratrees"
1029,788,2,TRUE,"extratrees"
1030,4736,1,FALSE,"gini"
1031,3009,2,TRUE,"gini"
1032,4221,1,FALSE,"extratrees"
1033,601,1,TRUE,"extratrees"
1034,2363,1,FALSE,"gini"
1035,102,4,FALSE,"gini"
1036,4669,4,FALSE,"gini"
1037,104,2,FALSE,"extratrees"
1038,262,4,TRUE,"gini"
1039,6557,1,TRUE,"extratrees"
1040,1685,2,TRUE,"gini"
1041,578,2,TRUE,"gini"
1042,749,3,FALSE,"extratrees"
1043,119,2,FALSE,"gini"
1044,8927,1,FALSE,"gini"
1045,735,4,TRUE,"extratrees"
1046,8294,4,TRUE,"extratrees"
1047,6012,3,TRUE,"gini"
1048,1919,1,TRUE,"extratrees"
1049,8822,4,FALSE,"gini"
1050,1740,2,TRUE,"gini"
1051,467,3,TRUE,"gini"
1052,497,4,FALSE,"gini"
1053,630,3,FALSE,"extratrees"
1054,3738,3,FALSE,"gini"
1055,120,1,FALSE,"extratrees"
1056,3168,4,FALSE,"extratrees"
1057,2279,4,FALSE,"gini"
1058,221,1,FALSE,"gini"
1059,335,2,FALSE,"gini"
1060,1076,4,FALSE,"gini"
1061,2261,1,TRUE,"gini"
1062,9318,3,FALSE,"gini"
1063,3329,4,FALSE,"gini"
1064,1367,4,TRUE,"extratrees"
1065,5044,4,TRUE,"extratrees"
1066,241,4,FALSE,"extratrees"
1067,351,3,FALSE,"gini"
1068,4568,1,TRUE,"gini"
1069,2452,4,TRUE,"extratrees"
1070,304,3,FALSE,"extratrees"
1071,122,3,FALSE,"extratrees"
1072,192,2,TRUE,"gini"
1073,272,1,TRUE,"extratrees"
1074,915,4,FALSE,"extratrees"
1075,249,3,TRUE,"extratrees"
1076,2766,3,TRUE,"gini"
1077,104,3,TRUE,"extratrees"
1078,567,4,FALSE,"extratrees"
1079,1076,1,FALSE,"extratrees"
1080,101,1,TRUE,"gini"
1081,1466,4,FALSE,"gini"
1082,208,3,TRUE,"extratrees"
1083,525,3,TRUE,"extratrees"
1084,1969,4,TRUE,"extratrees"
1085,3589,3,TRUE,"extratrees"
1086,1350,3,TRUE,"gini"
1087,295,1,FALSE,"extratrees"
1088,152,3,FALSE,"extratrees"
1089,149,2,TRUE,"gini"
1090,410,2,FALSE,"gini"
1091,2177,1,FALSE,"gini"
1092,101,1,FALSE,"extratrees"
1093,263,1,FALSE,"gini"
1094,7407,2,FALSE,"gini"
1095,7159,1,TRUE,"gini"
1096,2961,4,FALSE,"extratrees"
1097,466,2,TRUE,"gini"
1098,1079,2,FALSE,"gini"
1099,3099,1,FALSE,"extratrees"
1100,1743,3,FALSE,"extratrees"
1101,1801,2,FALSE,"extratrees"
1102,273,4,TRUE,"gini"
1103,273,1,FALSE,"gini"
1104,603,3,TRUE,"extratrees"
1105,7736,2,TRUE,"extratrees"
1106,8489,1,TRUE,"gini"
1107,3040,3,TRUE,"gini"
1108,2949,2,FALSE,"gini"
1109,1187,4,TRUE,"extratrees"
1110,101,3,TRUE,"gini"
1111,1663,2,TRUE,"extratrees"
1112,4753,1,FALSE,"gini"
1113,3208,1,TRUE,"gini"
1114,809,3,TRUE,"extratrees"
1115,1187,2,TRUE,"extratrees"
1116,1196,4,FALSE,"extratrees"
1117,101,4,TRUE,"extratrees"
1118,517,4,FALSE,"extratrees"
1119,1688,3,FALSE,"gini"
1120,4584,2,FALSE,"extratrees"
1121,520,2,TRUE,"extratrees"
1122,667,4,FALSE,"gini"
1123,1412,1,TRUE,"gini"
1124,1522,2,TRUE,"gini"
1125,2770,3,FALSE,"extratrees"
1126,620,4,FALSE,"gini"
1127,6950,3,TRUE,"gini"
1128,8487,3,FALSE,"extratrees"
1129,295,1,FALSE,"extratrees"
1130,2833,3,TRUE,"gini"
1131,6468,4,FALSE,"gini"
1132,1621,2,FALSE,"gini"
1133,1845,4,FALSE,"extratrees"
1134,7557,2,TRUE,"extratrees"
1135,5063,4,FALSE,"gini"
1136,1454,3,TRUE,"extratrees"
1137,4428,4,FALSE,"extratrees"
1138,170,3,FALSE,"extratrees"
1139,3406,1,FALSE,"gini"
1140,1779,1,TRUE,"gini"
1141,199,1,TRUE,"extratrees"
1142,145,4,FALSE,"extratrees"
1143,853,4,TRUE,"extratrees"
1144,3648,2,FALSE,"gini"
1145,2953,1,TRUE,"extratrees"
1146,4343,3,TRUE,"extratrees"
1147,220,1,TRUE,"extratrees"
1148,7817,3,FALSE,"gini"
1149,389,1,TRUE,"gini"
1150,200,4,TRUE,"gini"
1151,2767,1,TRUE,"extratrees"
1152,447,2,FALSE,"gini"
1153,3638,3,FALSE,"extratrees"
