customerSubtype,numberOfHouses,avgSizeHousehold,avgAge,customerMainType,romanCatholic,protestant,otherReligion,noReligion,married,livingTogether,otherRelation,singles,householdWithoutChildren,householdWithChildren,highLevelEducation,mediumLevelEducation,lowerLevelEducation,highStatus,entrepreneur,farmer,middleManagement,skilledLabourers,unskilledLabourers,socialClassA,socialClassB1,socialClassB2,socialClassC,socialClassD,rentedHouse,homeOwners,oneCar,twoCars,noCar,nationalHealthService,privateHealthInsurance,incomeLessThan30k,income30To45k,income45To75k,income75To122k,incomeAbove123k,averageIncome,purchasingPowerClass,contributionPrivateThirdPartyInsurance,contributionThirdPartyInsuranceFirms,contributionThirdPartyInsuranceAgriculture,contributionCarPolicies,contributionDeliveryVanPolicies,contributionMotorcycleScooterPolicies,contributionLorryPolicies,contributionTrailerPolicies,contributionTractorPolicies,contributionAgriculturalMachinesPolicies,contributionMopedPolicies,contributionLifeInsurances,contributionPrivateAccidentInsurancePolicies,contributionFamilyAccidentsInsurancePolicies,contributionDisabilityInsurancePolicies,contributionFirePolicies,contributionSurfboardPolicies,contributionBoatPolicies,contributionBicyclePolicies,contributionPropertyInsurancePolicies,contributionSocialSecurityInsurancePolicies,numberOfPrivateThirdPartyInsurance,numberOfThirdPartyInsuranceFirms,numberOfThirdPartyInsuranceAgriculture,numberOfCarPolicies,numberOfDeliveryVanPolicies,numberOfMotorcycleScooterPolicies,numberOfLorryPolicies,numberOfTrailerPolicies,numberOfTractorPolicies,numberOfAgriculturalMachinesPolicies,numberOfMopedPolicies,numberOfLifeInsurances,numberOfPrivateAccidentInsurancePolicies,numberOfFamilyAccidentsInsurancePolicies,numberOfDisabilityInsurancePolicies,numberOfFirePolicies,numberOfSurfboardPolicies,numberOfBoatPolicies,numberOfBicyclePolicies,numberOfPropertyInsurancePolicies,numberOfSocialSecurityInsurancePolicies,target
Low income catholics,1,3,40-50 years,Retired and Religeous,0%,2,4,4,9,0,0,0,3,6,0,4,5,1,0,0,3,3,2,2,2,2,5,1,9,0,5,3,2,6,3,0,4,5,1,0,4,1,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No
Stable family,1,4,40-50 years,Average Family,50 - 62%,3,1,1,8,1,1,1,1,8,1,5,3,1,0,0,5,3,1,1,3,3,3,0,1,8,9,0,0,5,4,3,2,4,0,0,4,8,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Large family farms,1,3,30-40 years,Farmers,0%,6,0,3,6,3,0,0,5,4,1,7,2,3,0,3,3,0,1,4,2,2,2,0,0,9,4,5,0,3,6,0,4,4,2,0,5,3,f 0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Mixed seniors,2,2,60-70 years,Successful hedonists,0%,4,2,3,5,0,4,4,4,2,4,0,5,4,0,0,0,4,2,4,0,0,5,0,4,5,5,0,4,5,4,1,3,5,1,0,5,3,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No
Lower class large families,2,3,30-40 years,Family with grown ups,0%,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,3,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Traditional families,1,3,30-40 years,Conservative families,24 - 36%,6,1,1,5,0,4,2,1,7,1,5,4,1,0,0,3,1,5,1,1,5,4,1,9,0,8,1,1,8,1,3,5,2,1,0,3,4,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Mixed rurals,1,2,50-60 years,Farmers,1 - 10%,4,0,5,7,0,2,5,3,2,0,2,7,2,1,1,3,2,2,0,0,3,6,0,3,6,6,2,1,4,5,6,2,0,2,0,3,4,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Career and childcare,1,4,40-50 years,Driven Growers,1 - 10%,4,1,4,7,1,2,0,3,6,4,3,3,0,0,0,9,0,0,3,0,6,0,0,0,9,6,2,1,5,4,0,3,2,2,2,8,8,f 0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
Own home elderly,3,2,50-60 years,Cruising Seniors,0%,3,0,6,5,0,4,4,4,2,0,0,9,0,0,0,0,7,2,0,0,0,5,4,7,2,5,0,4,9,0,6,2,2,1,0,3,1,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Young and rising,1,2,40-50 years,Living well,11 - 23%,4,2,3,5,2,3,2,4,3,1,3,5,1,1,0,3,3,2,2,2,2,5,1,6,3,7,1,2,7,2,3,4,3,1,0,3,3,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
